Run,AGE,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR4098781,Not collected,RNA-Seq,51,1250646531,Kim lab,PRJNA339968,SAMN05716004,Human,881478509,UCSF,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2067273,Illumina HiSeq 2500,classical11,classical11,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical11,Not collected,SRP082682,FACS-purified monocytes
SRR4098782,Not collected,RNA-Seq,51,1215666294,Kim lab,PRJNA339968,SAMN05716005,Human,875809627,UCSF,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2067274,Illumina HiSeq 2500,classical17,classical17,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical17,Not collected,SRP082682,FACS-purified monocytes
SRR4098783,Not collected,RNA-Seq,51,1458672879,Kim lab,PRJNA339968,SAMN05716006,Human,1077156598,UCSF,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2067275,Illumina HiSeq 2500,nonclassical11,nonclassical11,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,nonclassical11,Not collected,SRP082682,FACS-purified monocytes
SRR4053795,Not collected,RNA-Seq,51,673120644,Kim lab,PRJNA339968,SAMN05616144,Human,515878478,UCSF,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2043366,Illumina HiSeq 2500,classical01,classical01,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical01,Not collected,SRP082682,FACS-purified monocytes
SRR4053796,Not collected,RNA-Seq,51,1702872711,Kim lab,PRJNA339968,SAMN05616145,Human,1254531599,UCSF,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2043367,Illumina HiSeq 2500,classical02,classical02,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical02,Not collected,SRP082682,FACS-purified monocytes
SRR4053797,Not collected,RNA-Seq,51,1473653772,Kim lab,PRJNA339968,SAMN05616154,Human,1021125581,UCSF,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX2043368,Illumina HiSeq 2500,classical13,classical13,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical13,Not collected,SRP082682,FACS-purified monocytes
SRR4053798,Not collected,RNA-Seq,51,1227145629,Kim lab,PRJNA339968,SAMN05616155,Human,858170830,UCSF,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2043369,Illumina HiSeq 2500,classical14,classical14,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical14,Not collected,SRP082682,FACS-purified monocytes
SRR4053799,Not collected,RNA-Seq,51,699347343,Kim lab,PRJNA339968,SAMN05616156,Human,497742466,UCSF,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2043370,Illumina HiSeq 2500,classical15,classical15,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical15,Not collected,SRP082682,FACS-purified monocytes
SRR4053800,Not collected,RNA-Seq,51,924799728,Kim lab,PRJNA339968,SAMN05616157,Human,673034842,UCSF,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2043371,Illumina HiSeq 2500,classical16,classical16,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical16,Not collected,SRP082682,FACS-purified monocytes
SRR4053801,Not collected,RNA-Seq,51,216361023,Kim lab,PRJNA339968,SAMN05616158,Human,151695193,UCSF,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2043372,Illumina HiSeq 2500,classical18,classical18,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,classical18,Not collected,SRP082682,FACS-purified monocytes
SRR4053802,Not collected,RNA-Seq,51,452385351,Kim lab,PRJNA339968,SAMN05616159,Human,346847289,UCSF,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX2043373,Illumina HiSeq 2500,nonclassical01,nonclassical01,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,nonclassical01,Not collected,SRP082682,FACS-purified monocytes
SRR4053803,Not collected,RNA-Seq,51,1399068159,Kim lab,PRJNA339968,SAMN05616160,Human,1042492021,UCSF,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX2043374,Illumina HiSeq 2500,nonclassical02,nonclassical02,SINGLE,RT-PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-20T00:00:00Z,nonclassical02,Not collected,SRP082682,FACS-purified monocytes
